|      file | simple | bitpix | naxis | naxis1 | naxis2 | bscale |   bzero |            date-obs | exptime | exposure | set-temp | ccd-temp | xpixsz | ypixsz | xbinning | ybinning | xorgsubf | yorgsubf |       readoutm | filter |    imagetyp |  sitelat | sitelong |            jd | focallen | aptdia | aptarea |              swcreate |              sbstdver |           object |   telescop |                 instrume |  observer |                                      notes | flipstat |             ra |            dec |  alt |  az |        location |   longitud | latitude | elevatio | amtemp_f | humid | wind_mph |        swowner |
| ib031.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:09:43 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71508 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |   0 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  19.5018506922 |       72.92201 | 57.5 |   0 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib032.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:10:18 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71549 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  36 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  22.2613256513 |  61.3764477418 | 57.5 |  36 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib033.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:10:54 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 |  2457983.7159 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  72 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  22.4363352204 |   42.319632708 | 57.5 |  72 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib034.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:11:30 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71632 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 108 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |   21.817064276 |   24.863949844 | 57.5 | 108 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib035.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:12:07 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71675 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 144 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  20.8000645718 |  12.4709630077 | 57.5 | 144 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib036.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:12:43 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71716 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 180 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  19.5521021003 |        7.92201 | 57.5 | 180 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib037.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:13:19 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71758 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 216 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  18.3040463735 |  12.4709630077 | 57.5 | 216 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib038.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:13:55 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 |   2457983.718 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 252 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  17.2870422126 |   24.863949844 | 57.5 | 252 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib039.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:14:32 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71843 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 288 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  16.6677986764 |   42.319632708 | 57.5 | 288 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib040.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:15:08 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71884 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 324 AZ, 57.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  16.8429158731 |  61.3764477418 | 57.5 | 324 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib041.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:18:08 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.72093 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |   0 AZ, 82.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  19.6425377445 |       47.92201 | 82.5 |   0 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib042.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:17:32 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.72051 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  72 AZ, 82.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |   20.277110217 |  42.3433245475 | 82.5 |  72 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib043.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:16:56 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.72009 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 144 AZ, 82.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  19.9774930729 |  34.2271049874 | 82.5 | 144 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib044.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:16:20 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71968 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 216 AZ, 82.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  19.2576095462 |  34.2271049874 | 82.5 | 216 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib045.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:15:44 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71926 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 288 AZ, 82.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  18.9579194249 |  42.3433245475 | 82.5 | 288 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
