|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |    source_DEC |    source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
|   2.29204036 |  59.15021814 |  2.28 | I/239/hip_main |   0 |  328.179 |  101.446 |     63171.1 | 2.31426400401 | 59.1382362124 |  2.30008362568 |          431288.73747 |             755.034926733 | 11.8291953257 | 0.00189945348518 | 43.4002975913 |
|   2.58017518 |  46.07227117 |  5.01 | I/239/hip_main |  25 |   807.85 |  222.249 |     26262.7 | 2.57146963584 | 46.0611383897 |  1.04606502383 |         48541.2919821 |              430.70007637 | 9.45755336101 | 0.00962705284058 | 39.8982576141 |
|   4.08958566 |  43.59510616 |  6.12 | I/239/hip_main | 101 |  888.208 |  285.211 |      7496.0 | 4.09595494221 | 43.5952805592 |  1.09896746612 |         19327.0932984 |             395.006605281 | 8.45769139038 |  0.0221752003839 | 37.9800400419 |
|   4.28766746 |  47.94741495 |  5.86 | I/239/hip_main |  51 |  727.882 |  247.206 |     13699.2 | 4.25674691263 | 47.9324295341 |  1.03572172167 |          23628.693137 |             402.470686111 | 8.67587428803 |  0.0184809499154 | 39.4645092176 |
|   4.42944015 |  51.43309422 |  6.11 | I/239/hip_main |  92 |  599.965 |  216.434 |     8795.43 | 4.38897944654 | 51.4309852546 |  1.17720033345 |         19128.4539716 |              396.85106018 | 8.44647470815 |  0.0225100994014 | 40.4965685724 |
|   4.67562512 |  43.79114781 |  6.10 | I/239/hip_main |  77 |  876.861 |   298.86 |     9444.17 |  4.6787702704 | 43.7811026175 |  1.09054706632 |         16598.5142301 |              393.21011344 | 8.29244807031 |  0.0257030820451 | 37.6654486938 |
|   5.12884068 |  48.96864118 |  6.46 | I/239/hip_main | 107 |  684.975 |  257.279 |     7389.17 | 5.09124233783 |  48.958211558 |  1.06734640286 |         15565.3661607 |             394.311861056 |  8.2226733863 |  0.0274859174418 | 39.2898461179 |
|   6.02196922 |  44.26474444 |  6.66 | I/239/hip_main |  93 |  849.015 |  329.053 |     7809.57 | 6.01528316235 | 44.2523315304 | 0.441878140574 |         11310.3618956 |             385.712740472 |  7.8759662855 |   0.037001320318 | 36.9697887364 |
|   6.06518443 |  52.01992467 |  5.58 | I/239/hip_main |  74 |  568.333 |  247.264 |     10189.5 | 6.02171882563 |  52.022564816 |  1.21176430174 |         29270.3381793 |             409.989187818 |  8.9083443829 |  0.0151975787248 | 39.7094519979 |
|   6.27660700 |  53.04678501 |  5.72 | I/239/hip_main |  58 |  529.979 |  241.083 |     14504.2 | 6.23435322436 | 53.0520996793 |   1.2406265847 |         25045.1659944 |             406.277501147 | 8.73908481865 |  0.0176006455235 |  39.893935208 |
|   7.05660466 |  44.39448925 |  5.18 | I/239/hip_main |  31 |  835.996 |  354.258 |     25402.9 |  7.0424206399 | 44.3792310179 |   0.9795264944 |         44419.0016569 |             426.313284457 | 9.36119701577 |  0.0104133343025 | 36.3479544909 |
