|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y |     source_RA |       source_DEC | residual_aperture_sum |      instrmag |           alt |
| 251.37573793 | -19.13692789 |  6.60 | I/239/hip_main | 117 |  641.913 |  973.917 | 251.350036711 |   -19.1436485911 |         6984.11797993 | 7.35255395033 | 20.0456240461 |
| 251.65972683 |  -3.19563769 |  8.26 | I/239/hip_main | 478 |   922.86 |  439.634 | 251.645686827 |   -3.17280000066 |         2489.45876682 | 6.23253737603 | 33.6070591035 |
| 251.79066579 |   2.06456336 |  6.07 | I/239/hip_main |  84 |  1014.13 |  259.907 | 251.812017118 |    2.05181527552 |           14859.61842 | 8.17229417583 | 37.9139708302 |
| 252.05746997 |   1.09050361 |  7.18 | I/239/hip_main | 212 |  987.571 |  288.959 | 252.053375952 |    1.08097848108 |         5798.85541661 | 7.15063073397 | 37.2858618894 |
| 252.35676632 |   0.89063282 |  7.38 | I/239/hip_main | 242 |  973.135 |  290.341 | 252.364614321 |   0.880750761592 |         5363.82253737 | 7.06596103437 | 37.3114373444 |
| 252.85391115 |   1.21598136 |  5.51 | I/239/hip_main |  26 |  962.269 |  270.909 | 252.853873852 |    1.19944236724 |          28538.996043 | 8.88087176065 | 37.8586740461 |
| 253.24674087 |  -0.02281504 |  6.65 | I/239/hip_main | 113 |  926.844 |  306.175 | 253.226399412 | -0.0284974871139 |         11190.5219709 | 7.86440089312 | 37.0848989983 |
| 253.34942010 |   1.34832051 |  7.57 | I/239/hip_main | 269 |  947.664 |  257.576 | 253.353220892 |    1.33471756162 |         4497.94270927 | 6.87480983123 | 38.2633614523 |
| 253.35523754 | -20.41548861 |  5.86 | I/239/hip_main |  25 |  556.137 |  981.461 | 253.333941929 |   -20.4232062256 |         17188.9107025 | 8.33039592103 | 19.8828846223 |
| 253.37140163 |  -1.13042584 |  7.84 | I/239/hip_main | 386 |  902.529 |  340.843 | 253.353390166 |   -1.12083267901 |         2799.18165555 | 6.35985274085 | 36.2677084113 |
| 253.43795652 |  -4.32123776 |  7.57 | I/239/hip_main | 211 |  841.739 |  445.442 | 253.448951965 |   -4.30221428401 |         6279.94756925 | 7.23716507718 | 33.6974891992 |
| 253.88558952 | -21.56949817 |  6.62 | I/239/hip_main |  55 |  518.318 |  1011.29 | 253.866863603 |   -21.5753600898 |         9062.75463424 | 7.63542558759 | 19.1212455881 |
| 254.02330843 |   1.42071363 |  7.70 | I/239/hip_main | 305 |  926.724 |  243.285 | 254.010538333 |    1.41805980804 |         4251.48950815 | 6.81362781167 | 38.7171631723 |
| 256.32011831 |   0.70337361 |  6.00 | I/239/hip_main |  42 |  835.903 |  227.417 | 256.307377196 |   0.715930456585 |         21323.2477356 | 8.56440841406 | 39.4563115202 |
| 256.34765958 |   3.43860791 |  7.31 | I/239/hip_main | 260 |  883.683 |  133.772 | 256.350868169 |    3.41973647828 |         5248.45761789 | 7.04235426891 | 41.7055822728 |
| 256.37628120 | -22.07271990 |  7.05 | I/239/hip_main | 109 |  431.927 |  985.249 | 256.359053511 |   -22.0734131513 |         6395.25590015 | 7.25691985014 | 19.7737027001 |
