|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y |     source_RA |      source_DEC | residual_aperture_sum |      instrmag |           alt |
| 282.31438495 |  -0.98144907 |  7.75 | I/239/hip_main | 401 |  914.796 |  836.554 | 282.332175122 | -0.962430649403 |         3767.15202164 | 6.68230789828 | 47.5084509863 |
| 282.40493577 |   0.83623568 |  6.24 | I/239/hip_main | 110 |   909.57 |  767.422 |  282.41347139 |  0.835457580141 |         16884.7923054 | 8.31101433973 | 49.2823642124 |
| 282.42696490 |  15.93456178 |  6.68 | I/239/hip_main | 249 |  891.113 |  195.148 | 282.449673716 |   15.9199091944 |         9163.43109997 | 7.64742032935 | 63.8509931934 |
| 282.60695464 |   7.45834283 |  6.88 | I/239/hip_main | 267 |  895.503 |   516.58 | 282.586081917 |   7.45492564409 |         9814.28792375 | 7.72192201956 |  55.763086038 |
| 282.68977943 |  10.97637690 |  6.37 | I/239/hip_main | 114 |  887.991 |  383.808 | 282.681541228 |   10.9772622366 |         13565.5201382 | 8.07336615858 | 59.1910636384 |
| 282.95177431 |   3.03136205 |  7.51 | I/239/hip_main | 428 |   886.76 |  684.292 | 282.942554647 |   3.02290989098 |         5541.62442761 | 7.10136775505 | 51.5325272245 |
| 282.96383719 |  16.58445361 | 10.16 | I/239/hip_main | 809 |  871.478 |  171.313 | 282.958873248 |   16.5656745842 |         1944.29422659 | 5.96417999896 |  64.618189136 |
| 283.00802921 |  13.96566731 |  6.19 | I/239/hip_main | 140 |  872.101 |  270.972 | 283.018434788 |   13.9665480035 |         13354.7465224 | 8.05636415597 | 62.1547403482 |
| 283.07761978 |  14.53555831 |  6.55 | I/239/hip_main | 103 |  869.293 |  249.194 | 283.077166943 |   14.5404905175 |         16297.1869515 | 8.27255665137 | 62.7208838491 |
| 283.25862720 |   8.72391000 |  8.15 | I/239/hip_main | 674 |  868.856 |   468.85 | 283.253164368 |   8.74153000322 |         2948.84745171 | 6.41640579859 | 57.1718724925 |
| 283.27359956 |   7.88570559 |  7.78 | I/239/hip_main | 445 |  869.795 |  501.302 |  283.25225087 |    7.8791128512 |         6348.18293914 | 7.24889861645 | 56.3338671285 |
| 283.28260596 |   1.75542454 |  7.71 | I/239/hip_main | 480 |  874.901 |  733.286 | 283.287599022 |   1.73724644833 |         4118.73696383 | 6.77918517592 | 50.3475616738 |
| 283.37458020 |   9.65857677 |  7.40 | I/239/hip_main | 427 |  864.232 |  434.311 | 283.350393677 |   9.66211372701 |         6874.61430196 |  7.3353958756 | 58.0883707813 |
| 283.53181000 |  15.00638438 |  7.24 | I/239/hip_main | 478 |   851.66 |  232.251 | 283.538586283 |   15.0055294854 |         6610.14394916 | 7.29280232558 | 63.2938927875 |
| 283.59104368 |  13.38979878 |  7.22 | I/239/hip_main | 353 |  851.737 |  293.547 | 283.581198145 |   13.3970831758 |         7965.71044899 | 7.49533632226 | 61.7580330495 |
| 283.59133845 |  10.80831328 |  6.54 | I/239/hip_main | 122 |  854.753 |  391.068 | 283.571154657 |    10.817387183 |         12549.3257438 | 7.98882601367 | 59.2617071815 |
| 283.62745394 |   1.89763437 |  7.44 | I/239/hip_main | 174 |    861.6 |  728.024 | 283.630719166 |   1.87901028557 |         10819.9184675 | 7.82783500301 | 50.5551334356 |
| 283.65175724 |   1.88751006 |  7.40 | I/239/hip_main | 174 |    861.6 |  728.024 | 283.630719166 |   1.87901028557 |         10819.9184675 | 7.82783500301 | 50.5551334356 |
| 283.70108600 |  15.34270055 |  7.08 | I/239/hip_main | 362 |  845.312 |  219.677 | 283.700582553 |   15.3419754353 |         7546.38510404 | 7.43662244294 | 63.6607210702 |
| 283.72655844 |   1.12167188 |  7.39 | I/239/hip_main | 318 |  859.149 |   756.73 | 283.714766818 |   1.12525742055 |         6763.54319184 | 7.31771070194 | 49.8321396593 |
| 283.86818210 |  13.22245533 |  7.03 | I/239/hip_main | 266 |   841.77 |  300.204 | 283.853609457 |   13.2326332642 |         9724.62808332 | 7.71195753452 | 61.6687379478 |
| 283.87651415 |  14.38501902 |  6.62 | I/239/hip_main | 158 |  839.797 |   256.25 | 283.875482898 |   14.3908928356 |         13153.0333468 | 8.03983983547 | 62.7920837727 |
| 283.88866556 |  -2.30653816 |  7.79 | I/239/hip_main | 364 |  855.436 |  888.088 | 283.901735091 |  -2.29467716373 |         4236.36637183 | 6.80975881242 | 46.5051686534 |
| 283.93815104 |   7.17565200 |  6.70 | I/239/hip_main |  89 |  844.811 |  529.336 |  283.93330609 |   7.15098943778 |         17589.8842377 | 8.35543248576 | 55.7764836471 |
| 284.02424069 |  15.36571761 |  7.66 | I/239/hip_main | 604 |  833.044 |  219.212 | 284.031584773 |   15.3690382878 |         4373.40188665 | 6.84432350243 | 63.7747861571 |
| 284.05483475 |   4.20352956 |  4.62 | I/239/hip_main |   8 |  843.607 |  640.822 | 284.041860993 |   4.18911471279 |         90005.1937985 | 10.1279439609 | 52.9009313695 |
| 284.06088696 |   4.20205672 |  4.98 | I/239/hip_main |   8 |  843.607 |  640.822 | 284.041860993 |   4.18911471279 |         90005.1937985 | 10.1279439609 | 52.9009313695 |
| 284.09442308 |  -1.79981538 |  6.20 | I/239/hip_main | 102 |  847.142 |   868.93 | 284.103751812 |  -1.79969260943 |         16003.4514844 |  8.2528091765 | 47.0279580993 |
| 284.26863232 |   1.50045591 |  7.61 | I/239/hip_main | 355 |  837.726 |  743.216 | 284.265221731 |   1.48501221366 |         5735.93354545 | 7.13878531028 | 50.2888368563 |
| 284.29813586 |  14.83300385 |  7.12 | I/239/hip_main | 461 |  823.964 |  240.018 | 284.291477881 |   14.8348041073 |         7566.19684547 | 7.43946912227 | 63.3263408019 |
| 284.30221966 |  13.37248751 |  7.20 | I/239/hip_main | 380 |  825.264 |  295.359 | 284.294267579 |   13.3777792835 |         7027.19318077 | 7.35922976416 | 61.9175291465 |
| 284.56144717 |  17.36093633 |  5.33 | I/239/hip_main |  50 |  811.178 |  144.089 | 284.573338533 |   17.3512693164 |          30527.520538 | 8.95400386276 | 65.8236979632 |
| 284.59879391 |   6.24018925 |  6.22 | I/239/hip_main |  53 |  821.545 |  564.247 | 284.573381581 |   6.23525194164 |          21366.504484 | 8.56660872826 | 55.0114473283 |
| 284.60709290 |   1.19815087 |  7.07 | I/239/hip_main | 336 |  825.522 |  755.011 | 284.592547487 |   1.17720961036 |         5875.97843572 | 7.16497551577 |   50.04463034 |
| 284.69551472 |  13.90677273 |  5.91 | I/239/hip_main |  67 |  810.224 |  275.325 |  284.68662559 |   13.9214806527 |         26753.8069996 | 8.81073900694 | 62.5379876546 |
| 284.77387015 |  13.62254853 |  5.27 | I/239/hip_main |  37 |  807.734 |  286.103 | 284.760995367 |     13.63983174 |         47925.1507147 | 9.44368375082 | 62.2818081697 |
| 284.90578844 |  15.06847757 |  4.02 | I/239/hip_main |  11 |  801.419 |  231.696 | 284.896537495 |   15.0779831149 |         120219.816326 | 10.4422151828 |  63.709237429 |
| 284.92746028 |  16.25287380 |  7.06 | I/239/hip_main | 487 |  799.344 |  186.811 | 284.923791951 |   16.2546956794 |         6387.93850791 | 7.25567684963 | 64.8552229383 |
| 284.96233104 |  11.44485827 |  7.72 | I/239/hip_main | 580 |   803.04 |  368.951 | 284.941178456 |   11.4503811005 |         4230.22484645 | 6.80818366194 | 60.1894126198 |
| 284.99556090 |   4.61085580 |  7.43 | I/239/hip_main | 409 |  807.963 |  626.008 | 284.972771774 |   4.59748359388 |         6030.96869703 | 7.19324271834 | 53.4780667624 |
| 285.18913820 |  -0.45504631 |  7.20 | I/239/hip_main | 246 |  804.713 |  817.979 | 285.176894226 | -0.471768423086 |         6797.60937751 | 7.32316554344 | 48.5161334379 |
| 285.30535614 |   2.03318554 |  6.92 | I/239/hip_main | 299 |  798.086 |  723.555 | 285.293667854 |   2.01294345342 |         8056.19915582 |   7.507600517 | 50.9872969072 |
| 285.58983810 |   8.37352914 |  6.25 | I/239/hip_main | 203 |  782.531 |  484.955 | 285.563363117 |   8.37359912456 |         11518.5155337 | 7.89576631334 | 57.2980218502 |
| 285.65817180 |  14.56701386 |  6.88 | I/239/hip_main | 274 |   774.42 |  251.889 | 285.642530451 |    14.574607117 |         8495.80026854 | 7.56528576712 | 63.3875870805 |
| 285.72704960 |  -3.69900363 |  5.40 | I/239/hip_main |  39 |  785.818 |  941.927 | 285.743133396 |  -3.68590212007 |         38388.1590989 | 9.20276824767 | 45.4214341092 |
| 285.83118669 |   9.91741238 |  8.73 | I/239/hip_main | 730 |  770.793 |  427.685 |  285.84465366 |    9.9108164267 |         3287.87832952 | 6.53456437693 | 58.8601569067 |
| 285.93738118 |   5.06958426 |  7.94 | I/239/hip_main | 598 |  771.593 |  608.871 | 285.927667041 |   5.06906586688 |         3343.58455906 | 6.55280580991 | 54.1058684246 |
| 286.00805640 |  16.46344137 |  6.94 | I/239/hip_main | 310 |  759.457 |  180.111 | 286.008211358 |   16.4726610133 |         8624.21508932 |  7.5815739809 |  65.316526482 |
| 286.03462246 |  15.10087985 |  7.38 | I/239/hip_main | 541 |  759.945 |  231.554 | 286.024705808 |   15.1236717566 |         4894.06061519 | 6.96644839249 | 64.0038091713 |
| 286.04033580 |  17.55591189 |  6.93 | I/239/hip_main | 301 |  756.643 |  138.085 |  286.06093156 |   17.5701428942 |         8500.86536435 | 7.56593287735 | 66.3964582033 |
| 286.16423217 |   1.30616155 |  8.57 | I/239/hip_main | 384 |  766.054 |  750.842 | 286.154130665 |   1.29876168622 |          4038.6614179 | 6.75786864632 | 50.4143586807 |
| 286.21918056 |  19.14423492 |  6.57 | I/239/hip_main | 202 |  748.884 |  76.9222 | 286.239205139 |   19.1588058212 |         11302.8756117 | 7.87524740305 | 67.9798959603 |
| 286.22129453 |  15.73599305 |  7.00 | I/239/hip_main | 408 |  752.457 |  208.024 | 286.215694499 |   15.7488470973 |          7642.3471067 | 7.45034192992 | 64.6539030639 |
| 286.23490116 |  -4.04078190 |  7.00 | I/239/hip_main |  47 |  766.516 |  955.105 |   286.2533481 |  -4.02592608162 |         42108.9200787 | 9.30321029174 |  45.152538568 |
| 286.24024804 |  -4.03135505 |  5.40 | I/239/hip_main |  47 |  766.516 |  955.105 |   286.2533481 |  -4.02592608162 |         42108.9200787 | 9.30321029174 |  45.152538568 |
| 286.28560194 |   9.64213837 |  6.88 | I/239/hip_main | 357 |  754.799 |   437.33 | 286.280800938 |   9.66375758179 |          6855.9194145 | 7.33243929298 | 58.6944298401 |
| 286.32740300 |  -1.51222647 |  6.51 | I/239/hip_main | 147 |  761.838 |  858.544 |  286.32372036 |  -1.52834467574 |         11597.8355862 | 7.90321740199 | 47.6379688932 |
| 286.35255180 |  13.86370983 |  2.99 | I/239/hip_main |   3 |  749.428 |  279.117 | 286.338289569 |   13.8784491132 |         181671.323965 | 10.8904909855 | 62.8472131281 |
| 286.44874842 |   6.54699563 |  6.75 | I/239/hip_main | 157 |  751.811 |  553.989 | 286.424991388 |   6.54424071288 |          12661.112614 | 7.99845471159 | 55.6411338408 |
| 286.58246460 |  15.86130769 |  7.32 | I/239/hip_main | 425 |  738.742 |  203.311 | 286.588330897 |   15.8852932162 |         5743.58177199 | 7.14023205388 | 64.8619877951 |
| 286.64538451 |  -1.34267044 |  9.70 | I/239/hip_main | 128 |  749.518 |  852.209 | 286.643893664 |  -1.36250897272 |         12340.3245611 | 7.97059148793 |  47.844134489 |
| 286.64631072 |  -1.34611038 |  6.84 | I/239/hip_main | 128 |  749.518 |  852.209 | 286.643893664 |  -1.36250897272 |         12340.3245611 | 7.97059148793 |  47.844134489 |
| 286.88825942 |  18.56256929 |  7.32 | I/239/hip_main | 523 |  725.585 |  101.486 | 286.895473117 |    18.550186531 |         5819.38462499 | 7.15446768826 | 67.5294617526 |
| 286.91573535 |  15.50894935 |  8.24 | I/239/hip_main | 629 |  727.459 |  217.735 | 286.905051599 |   15.5164462624 |         4077.97627323 | 6.76838676904 | 64.5604695296 |
| 286.98867463 |  16.85412507 |  6.08 | I/239/hip_main |  85 |  723.034 |  166.443 | 286.999744673 |   16.8647373864 |         17317.6653167 | 8.33849838792 | 65.9007516002 |
| 287.14760048 |  14.43526333 |  6.64 | I/239/hip_main | 166 |  719.772 |  258.151 | 287.136279676 |   14.4571392098 |         12397.5595985 | 7.97561554437 | 63.5604197066 |
| 287.21766714 |  -2.28723715 |  6.58 | I/239/hip_main | 137 |  728.283 |  888.324 | 287.220007201 |  -2.30274811591 |         12794.6557565 | 8.00984654646 |  46.980329753 |
| 287.24171832 |  11.29358511 |  6.65 | I/239/hip_main | 229 |  718.686 |  376.849 | 287.225541482 |   11.3028915578 |         10457.3002953 | 7.79082398138 | 60.4651472031 |
| 287.24864513 |  14.78039936 |  6.74 | I/239/hip_main | 193 |   715.68 |   245.27 | 287.241743847 |     14.80062576 |         10732.1907666 | 7.81899599185 | 63.9165643162 |
| 287.32668544 |  11.62679938 |  7.26 | I/239/hip_main | 365 |   715.54 |  364.228 | 287.304709088 |   11.6418123528 |         7904.28012713 | 7.48693084056 | 60.8120801167 |
| 287.70720643 |  10.34581940 |  7.09 | I/239/hip_main | 462 |  702.322 |  412.548 | 287.686798329 |   10.3581963746 |         7567.79138702 | 7.43969791212 | 59.5989617671 |
| 287.73733472 |   8.12159716 |  7.44 | I/239/hip_main | 563 |  702.558 |  496.465 | 287.719501511 |   8.10865108825 |         4199.67493616 | 6.80031422346 | 57.3749351675 |
| 287.78457225 |  -4.12937163 |  8.44 | I/239/hip_main | 455 |   707.51 |   958.91 | 287.797925034 |  -4.12787197503 |         1878.35716527 |  5.9267204722 | 45.2273135471 |
| 287.79127953 |  -2.63816763 |  7.95 | I/239/hip_main | 392 |  707.091 |  902.076 |  287.78355345 |  -2.65972444199 |         3026.08852638 | 6.44447910475 | 46.6865395759 |
| 287.91473632 |  -3.06532988 |  8.30 | I/239/hip_main | 419 |  702.181 |  917.737 | 287.919603312 |  -3.06576385673 |         2594.27295144 | 6.27731420155 | 46.2962959223 |
| 287.94831445 |  13.90926107 |  8.78 | I/239/hip_main | 734 |  690.489 |  279.104 |  287.94759676 |   13.9236765882 |         3393.59830259 | 6.56892611739 | 63.1635085388 |
| 287.97225705 |  14.58224063 |  8.05 | I/239/hip_main | 686 |  689.807 |  253.594 | 287.954654163 |   14.5998671497 |         3727.64037452 | 6.67086004998 | 63.8328137723 |
| 288.09371204 |  -4.46308992 |  8.63 | I/239/hip_main | 471 |  695.962 |  971.865 |  288.10629075 |  -4.46108611131 |          1713.6257756 | 5.82706499753 | 44.9253731579 |
| 288.09861854 |  -4.45803989 | 11.77 | I/239/hip_main | 471 |  695.962 |  971.865 |  288.10629075 |  -4.46108611131 |          1713.6257756 | 5.82706499753 | 44.9253731579 |
| 288.11424400 |  -5.41441446 |  8.06 | I/239/hip_main | 375 |  695.649 |  1008.59 | 288.130096427 |  -5.39957164574 |         2694.36513301 | 6.31841615697 | 43.9930606643 |
| 288.11440211 |  16.85059796 |  7.94 | I/239/hip_main | 190 |  681.931 |  167.974 | 288.132676922 |   16.8588747576 |         13812.4344162 | 8.09295060484 | 66.0905185593 |
| 288.14355604 |  16.84644822 |  6.73 | I/239/hip_main | 190 |  681.931 |  167.974 | 288.132676922 |   16.8588747576 |         13812.4344162 | 8.09295060484 | 66.0905185593 |
| 288.15417708 |   6.03953720 |  7.46 | I/239/hip_main | 347 |  688.352 |  573.759 | 288.136802487 |   6.04061837016 |         7019.09881657 | 7.35797842391 | 55.3740803993 |
| 288.31410237 |  15.03564187 |  6.70 | I/239/hip_main | 199 |    676.8 |  237.722 | 288.304691322 |    15.028374509 |         13745.3524662 | 8.08766473439 | 64.3074461082 |
| 288.47327540 |   9.03324952 |  7.06 | I/239/hip_main | 317 |  674.938 |  461.969 | 288.451100537 |   9.04702991329 |         9389.25121643 | 7.67385243024 |   58.39645443 |
| 288.54184751 |   7.76408792 |  7.23 | I/239/hip_main | 464 |  673.316 |  509.672 | 288.514822274 |   7.76673883784 |         4722.68339708 | 6.92774711247 | 57.1318060382 |
| 288.56520563 |  19.06407953 |  7.66 | I/239/hip_main | 662 |  665.113 |  84.1621 |  288.56186903 |     19.05097824 |         3969.69290219 | 6.73916730948 | 68.3199281522 |
| 288.68629555 |   6.04855459 |  6.92 | I/239/hip_main | 218 |  668.408 |  574.155 | 288.673473644 |   6.03683635879 |         10800.4643663 |  7.8258811035 | 55.4288416745 |
| 288.70316888 |   8.09639362 |  7.71 | I/239/hip_main | 570 |  666.884 |  497.612 | 288.683795227 |   8.09325263854 |         4806.18290582 | 6.94677576864 |  57.474827992 |
| 288.75595744 |   9.80763967 |  8.01 | I/239/hip_main | 685 |  663.198 |  433.351 | 288.757911476 |    9.8203672883 |         3883.16892549 | 6.71524074157 | 59.1995182892 |
| 288.76120242 |  20.20315025 |  6.03 | I/239/hip_main | 145 |  656.935 |  40.4191 | 288.771216641 |   20.1824285729 |         19575.7043214 | 8.47156852415 | 69.4684366538 |
| 288.86582654 |  19.42000361 |  7.21 | I/239/hip_main | 489 |  653.556 |  70.4072 | 288.877509066 |   19.4144458241 |         6551.10588852 | 7.28306158049 | 68.7260841057 |
| 288.88904113 |  18.51632809 |  6.46 | I/239/hip_main | 244 |  653.789 |  105.078 | 288.884935327 |   18.5180500748 |          11713.437164 | 7.91398591288 | 67.8410237093 |
| 289.00766882 |  16.16096373 |  7.16 | I/239/hip_main | 460 |  651.104 |  194.591 | 288.994686548 |   16.1818705107 |         6085.12688983 | 7.20294912944 | 65.5422587424 |
