|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |    source_DEC |    source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 183.85603795 |  57.03259792 |  3.32 | I/239/hip_main |   2 |  944.386 |  767.909 |     62278.9 | 183.884539852 | 57.0253453376 |   1.2653174137 |         166716.910366 |             569.371133319 | 10.7972241657 | 0.00370548901306 |  25.258853491 |
| 184.95301297 |  48.98413192 |  5.28 | I/239/hip_main |  28 |  697.886 |  950.976 |     19485.4 | 184.952974216 | 48.9789117304 |  1.21605406366 |         30090.4020468 |             459.329219525 | 8.93834500881 |  0.0165624973176 | 20.9104209812 |
| 185.21179250 |  57.86428953 |  5.54 | I/239/hip_main |  41 |  949.557 |  726.022 |     12162.5 | 185.225647742 | 57.8623305553 |   1.2435920407 |         27142.8443096 |             425.283344787 | 8.82641342153 |  0.0170001501623 | 26.3322179334 |
| 186.00617625 |  51.56222925 |  4.76 | I/239/hip_main |  19 |  755.955 |  867.993 |     40553.4 | 185.984153218 | 51.5557258787 |  1.06604682011 |          51773.962426 |             471.578719674 |   9.527553543 | 0.00988262993347 | 22.9996368996 |
| 186.89635756 |  55.71275225 |  5.68 | I/239/hip_main |  35 |  864.007 |  752.022 |     17202.9 | 186.876208178 | 55.7130153405 |  1.08062394382 |         22044.6521107 |             423.432837367 | 8.60053315643 |  0.0208406386381 | 25.8520328009 |
| 187.48916244 |  58.40552660 |  5.37 | I/239/hip_main |  47 |  935.299 |  677.874 |     12552.8 | 187.482607552 | 58.4048818056 |  1.20829030045 |          29333.768269 |              424.23829258 | 8.91069467457 |  0.0156917632684 |  27.623629583 |
| 187.70882191 |  53.07616553 |  6.20 | I/239/hip_main |  45 |  775.047 |  800.983 |     10755.9 | 187.673898979 | 53.0710901057 |  1.13549764692 |         13267.4503171 |             420.409324757 |  8.0492437075 |  0.0343806915768 | 24.7246863357 |
| 190.76746044 |  61.15537241 |  6.39 | I/239/hip_main |  53 |  978.948 |  564.047 |     9921.62 | 190.777684532 | 61.1573773585 | 0.982543102985 |         12157.6589946 |             394.649008328 | 7.95439992718 |  0.0352201171481 |   30.46733133 |
| 191.82885595 |  62.78113875 |  5.88 | I/239/hip_main |  39 |  1017.87 |  512.042 |     15003.0 | 191.857224246 | 62.7739770678 | 0.956953243479 |         35910.3298057 |             396.356802086 | 9.13032351694 |   0.011975582864 | 31.6849071585 |
| 192.16390269 |  60.31989667 |  5.83 | I/239/hip_main |  44 |  937.847 |  561.967 |     13994.5 | 192.146410212 |   60.33317975 | 0.957991042542 |         20229.5990341 |              403.79852313 | 8.50724321955 |  0.0216574434747 | 30.6517914103 |
