|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |    source_DEC |    source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 288.43953645 |  39.14596968 |  4.43 | I/239/hip_main |   8 |  472.697 |  58.1416 |     28098.6 | 288.447371806 | 39.1602378811 |  1.55259665412 |         94850.8112922 |             471.017176854 | 10.1848776573 | 0.00538797328062 | 85.3417136328 |
| 289.09206426 |  38.13372778 |  4.35 | I/239/hip_main |  33 |  515.418 |  61.9239 |     19036.6 | 289.097022574 | 38.1515799844 |  1.68477790958 |         95557.4303764 |             470.215282404 | 10.1929361892 | 0.00533902575027 | 85.3997655617 |
| 291.53801621 |  36.31786478 |  5.17 | I/239/hip_main |  25 |    605.9 |  107.012 |     19337.4 | 291.534250087 | 36.3280817264 |  1.36711395037 |          44642.940925 |             415.526221845 | 9.36665702431 |  0.0100989303429 | 85.4077656632 |
| 292.42641389 |  51.72946747 |  3.76 | I/239/hip_main |  13 |  66.1323 |  329.279 |     47173.3 | 292.424013148 | 51.7238951009 |  1.55019641315 |         167734.204258 |             540.821435132 | 10.8038291143 | 0.00349833988669 | 78.5797210929 |
| 292.69512816 |  36.22853276 |  6.26 | I/239/hip_main | 143 |  620.821 |  139.277 |     7069.35 |  292.68326592 | 36.2318446523 |  1.26819165011 |         17102.1481273 |             379.530183374 | 8.32490169172 |  0.0240782763602 | 85.6654622203 |
| 292.94300436 |  34.45297707 |  4.74 | I/239/hip_main |  55 |   686.88 |   124.55 |     21298.3 | 292.942590338 | 34.4645967141 |  1.35043728039 |         71422.4922698 |             447.988823823 | 9.87686253431 | 0.00680552944038 | 83.9903975087 |
| 293.95125591 |  36.94454320 |  6.03 | I/239/hip_main |  93 |  607.094 |  184.236 |     9613.46 | 293.927445549 | 36.9476398221 |   1.3022254904 |         22297.3512956 |             388.194381094 |  8.6129082231 |  0.0188897281073 | 86.5583275708 |
| 294.11059344 |  50.22046347 |  4.49 | I/239/hip_main |  31 |  134.073 |  348.117 |     25929.4 | 294.084803616 | 50.2354866241 |  1.65467662453 |         88033.8446576 |             463.268528733 |  10.103899205 | 0.00570969444343 | 80.1403276491 |
| 294.93718392 |  33.97890836 |  6.10 | I/239/hip_main | 118 |  723.071 |   178.43 |     7802.84 | 294.928959587 | 33.9868654917 |   1.2959945128 |         19360.5941537 |             386.413295563 | 8.45957173542 |  0.0216552458234 | 83.5900803453 |
| 295.45453769 |  50.52544635 |  5.99 | I/239/hip_main | 117 |  133.822 |  382.676 |     7978.43 | 295.434758271 | 50.5367745273 |  1.89778698888 |         37301.2202825 |              405.36417769 |  9.1715826317 |  0.0117910387238 | 79.8093129668 |
| 295.96436260 |  34.16271463 |  6.04 | I/239/hip_main |  92 |  725.955 |   211.32 |     10498.9 |  295.95371056 | 34.1622989347 |  1.17448232548 |         20028.6609899 |             387.780778725 | 8.49640482161 |  0.0210070031705 | 83.6475092842 |
| 296.06896508 |  37.35426967 |  4.89 | I/239/hip_main |  17 |  611.759 |  249.745 |     21060.9 | 296.044519804 | 37.3467683554 |  1.32357273301 |         58790.9370669 |              431.89975688 | 9.66555098865 | 0.00797080739981 | 86.6789343715 |
| 296.41521750 |  36.09100655 |  6.38 | I/239/hip_main |  78 |  660.132 |    245.9 |     10706.8 |  296.39459504 |  36.086465335 |  1.32305415868 |         23745.7372941 |             389.640079683 | 8.68123917944 |  0.0178035948608 | 85.4047469026 |
| 296.41942736 |  36.08864502 |  7.16 | I/239/hip_main |  78 |  660.132 |    245.9 |     10706.8 |  296.39459504 |  36.086465335 |  1.32305415868 |         23745.7372941 |             389.640079683 | 8.68123917944 |  0.0178035948608 | 85.4047469026 |
| 296.60659960 |  33.72868813 |  5.00 | I/239/hip_main |  40 |  747.748 |  225.951 |     23916.8 | 296.602618265 | 33.7200034325 |  1.28555431821 |         55958.3651761 |             433.143698111 | 9.61193757774 | 0.00839840318729 | 83.0943268922 |
| 296.86573441 |  38.40761671 |  5.83 | I/239/hip_main | 131 |  580.519 |  283.853 |     7998.89 | 296.836639284 | 38.4031553131 |  1.31894521155 |         25034.4649373 |              394.03490142 | 8.73862081662 |  0.0170775716242 | 87.2175195785 |
| 297.36457758 |  38.71017237 |  6.12 | I/239/hip_main | 108 |  573.828 |  301.048 |     9141.11 | 297.333818746 | 38.7027825444 |  1.26521288656 |         6502.94576722 |             387.925624302 | 7.27505036284 |  0.0647244060514 | 87.1224759184 |
