|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |    source_DEC |    source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 203.69894294 |  37.18243871 |  4.91 | I/239/hip_main |  21 |  864.994 |  773.678 |     22768.0 | 203.674591945 | 37.1822277022 |  1.18265251763 |         45034.6079316 |             572.595025065 | 9.37614099791 |  0.0137952927921 | 25.2264350069 |
| 209.66220328 |  21.69632104 |  5.76 | I/239/hip_main |  26 |   273.05 |  953.995 |     10729.1 | 209.663407722 | 21.6963690172 |  1.39890491804 |          22011.744835 |              568.83525494 | 8.59891120685 |  0.0280389517612 | 20.6959077673 |
| 211.98227724 |  43.85452480 |  5.13 | I/239/hip_main |   8 |  932.065 |  433.093 |     23497.8 | 211.976794731 | 43.8665170177 |  1.02647089388 |         35860.9419116 |              530.35210981 | 9.12882926355 |  0.0160462053831 |  33.998473904 |
| 213.91811403 |  19.18726997 | -0.05 | I/239/hip_main |   4 |  110.432 |  877.378 |     62157.2 | 213.914307431 | 19.2027057969 |  4.04501313105 |         1349657.04146 |             1282.21293684 | 13.0678335946 | 0.00103078114939 | 22.4055596734 |
| 214.09656821 |  46.08791894 |  4.18 | I/239/hip_main |   6 |  973.831 |  339.514 |     35796.0 | 214.098211643 | 46.0824051527 |  1.11105111188 |         105286.789602 |             584.392852254 |  10.298209741 | 0.00602227731601 | 36.2853701657 |
| 214.49923373 |  35.50947085 |  4.80 | I/239/hip_main |  27 |  626.895 |  539.108 |     36209.4 | 214.475508792 | 35.5261755854 |  1.00171961804 |         55930.3862699 |             557.847513917 | 9.61139457924 |  0.0108217481224 | 31.8178536372 |
| 217.06856594 |  36.19701883 |  6.22 | I/239/hip_main |  43 |  609.046 |   459.01 |     11255.1 | 217.067505815 | 36.2140518562 |  1.02534522375 |         15875.2927467 |             513.147400033 | 8.24407938902 |  0.0350711598153 | 33.9886360915 |
| 217.95774098 |  30.37114497 |  3.57 | I/239/hip_main |   9 |  405.918 |  542.835 |     62534.9 | 217.961790297 | 30.3448779821 |  1.38129268559 |          143499.80465 |             631.918452198 | 10.6344033072 | 0.00477792650872 |  31.711643984 |
| 219.55279962 |  43.64205288 |  5.74 | I/239/hip_main |  49 |  819.035 |  259.639 |     9628.22 |  219.56205813 | 43.6594475618 |  1.15279407867 |          24465.067027 |              505.64001631 | 8.71364105736 |  0.0224246030918 | 38.9145125596 |
| 219.70950726 |  44.40454503 |  5.39 | I/239/hip_main |  22 |  842.812 |  242.065 |     19702.8 | 219.712704084 |  44.419875147 |  1.02541250566 |          33844.823109 |             513.598522032 | 9.06600565398 |  0.0164649817968 | 39.3003660512 |
| 222.32781437 |  46.11639336 |  5.76 | I/239/hip_main |  46 |  868.789 |  149.403 |     9980.68 | 222.324266086 | 46.1025030275 | 0.771809820315 |         25735.6477815 |             499.133304331 | 8.76861279295 |  0.0210431709277 | 41.6098540759 |
| 225.52713391 |  25.00825646 |  4.80 | I/239/hip_main |  34 |  109.705 |  412.718 |     10942.1 | 225.542004301 | 24.9907392203 |   1.9010430775 |         55951.7868285 |             546.277495024 | 9.61180993338 |  0.0105932467165 | 34.5428411355 |
| 226.82477948 |  24.86959294 |  4.93 | I/239/hip_main |  41 |  85.3952 |   374.56 |     8636.85 | 226.837427762 | 24.8586319034 |  1.77468030341 |         52969.2958205 |             540.250381104 | 9.55233553106 |  0.0110662536554 | 35.4542541513 |
| 228.62168817 |  29.16422593 |  5.28 | I/239/hip_main |  50 |  208.715 |  252.121 |      8692.8 | 228.645940441 |  29.154720856 |  1.75248547389 |         38144.7289534 |             518.173804253 | 9.19586136566 |  0.0147390895948 | 39.0823739198 |
| 228.90954478 |  33.32118941 |  7.80 | I/239/hip_main |  10 |  349.096 |  181.773 |     55368.8 | 228.912244637 | 33.3108494408 |  1.65743260214 |         209293.715186 |              661.24257539 | 11.0441655006 | 0.00342794906029 | 41.2743062258 |
| 230.45253799 |  32.93366086 |  5.38 | I/239/hip_main |  45 |  316.167 |  141.176 |     10892.8 | 230.475361251 | 32.9303731843 |  1.48130255468 |         36011.8525021 |             510.239853036 | 9.13338868924 |  0.0153730008894 | 42.2674918072 |
| 230.80094284 |  30.28824114 |  4.99 | I/239/hip_main |  35 |  219.106 |  169.125 |     13663.0 |  230.81359516 | 30.2848074038 |  1.55157875985 |         46416.5635758 |             521.813067447 | 9.40895749392 |  0.0121975246456 | 41.2775036276 |
| 231.12306762 |  37.37696091 |  4.31 | I/239/hip_main |  19 |  464.123 |  58.1488 |     31573.3 | 231.131214748 | 37.3729729937 |  1.60315898553 |         109725.217368 |             574.098827014 | 10.3430411572 | 0.00567688305616 | 44.6359858625 |
| 231.12904066 |  37.34709337 |  6.51 | I/239/hip_main |  19 |  464.123 |  58.1488 |     31573.3 | 231.131214748 | 37.3729729937 |  1.60315898553 |         109725.217368 |             574.098827014 | 10.3430411572 | 0.00567688305616 | 44.6359858625 |
| 231.57277020 |  34.33584960 |  5.46 | I/239/hip_main |  48 |   352.01 |  88.1291 |     10488.4 | 231.581993317 | 34.3367435356 |  1.45225064441 |         32544.6286629 |              503.28919527 | 9.02347333394 |  0.0167790753591 | 43.7171518072 |
| 231.95771631 |  29.10549164 |  3.66 | I/239/hip_main |  20 |  162.791 |  150.679 |     30434.1 | 231.944985351 | 29.1128472931 |  1.91138322181 |         171798.726149 |               629.0447566 | 10.8298248808 | 0.00397275099886 |  41.557347445 |
