|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |    source_DEC |   source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 323.64153036 |  22.75465142 |  6.45 | I/239/hip_main |  86 |  629.288 |  462.914 |     7175.44 | 323.622531119 | 22.7469018006 | 1.05777782174 |         12739.0306677 |             343.325639937 | 8.00511599033 |   0.029241496394 | 58.6179263791 |
| 323.86261965 |  24.45218695 |  6.22 | I/239/hip_main |  80 |  573.073 |  432.151 |     9800.52 | 323.839611409 | 24.4597156884 | 1.08089890108 |         17853.6149472 |             349.943980211 | 8.37159044256 |  0.0212667977691 | 59.5735532578 |
| 324.68818128 |  25.49881799 |  6.18 | I/239/hip_main |  79 |   524.99 |  432.204 |     9925.96 | 324.670591668 | 25.5124147971 | 1.13124856677 |         17513.8523277 |             348.948197799 | 8.35072924134 |  0.0216176765413 | 59.6323623048 |
| 325.99216944 |  22.81539445 |  6.43 | I/239/hip_main |  84 |  580.032 |   527.23 |     8366.65 | 325.986108236 | 22.8076902174 |  1.0220264794 |         14074.5801483 |             344.493995441 | 8.11336365376 |  0.0265568124317 | 57.0054740471 |
| 326.16126755 |  25.64500284 |  4.14 | I/239/hip_main |  10 |  491.233 |  469.206 |     51763.1 | 326.157238664 |   25.66168785 | 1.11458659459 |         118399.530738 |             472.247654292 | 10.4256499853 | 0.00432762445691 | 58.6481885685 |
| 326.51816071 |  22.94888549 |  5.29 | I/239/hip_main |  36 |  565.114 |  539.035 |     23861.0 | 326.522745296 |  22.942337358 | 1.12020749564 |         42986.8410395 |              385.38199937 | 9.32561386109 | 0.00972715043034 | 56.7117412388 |
| 326.59934972 |  25.56337264 |  6.28 | I/239/hip_main |  82 |   484.97 |  482.986 |     9419.87 | 326.599769674 | 25.5769437402 | 1.20475158946 |          14411.016393 |             348.766714955 | 8.13901156302 |  0.0262585146951 | 58.2764918787 |
| 328.07572282 |  21.27310284 |  6.27 | I/239/hip_main |  83 |  583.073 |  619.866 |     8905.25 | 328.091044835 | 21.2525600191 | 1.07367121889 |         13765.3448846 |             344.420212318 | 8.08924277482 |  0.0271475893628 | 54.5116703672 |
| 328.26567758 |  25.92513878 |  5.09 | I/239/hip_main |  45 |  440.426 |  519.822 |     18471.3 | 328.280933926 | 25.9407425789 | 1.22433138718 |         49133.8477603 |             392.621599002 | 9.47072697215 |  0.0086700808981 | 57.2591781703 |
