|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |     source_DEC |   source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 291.31854426 | -24.50844892 |  5.02 | I/239/hip_main |  22 |  910.591 |  762.775 |     14068.2 | 291.302997294 | -24.5263382547 | 1.32006582668 |         37568.8551413 |             500.944447486 | 9.17934493438 |  0.0144674284984 | 25.0889940721 |
| 291.37363116 | -23.96242415 |  5.45 | I/239/hip_main |  30 |  906.413 |  742.051 |     13718.5 | 291.353630892 | -23.9770295791 | 1.26127213401 |         31540.9726331 |             491.891842653 | 8.98946273651 |  0.0169209318776 | 25.6382115509 |
| 294.22270240 |  -7.02747069 |  4.93 | I/239/hip_main |   7 |  724.934 |  119.362 |     22807.7 | 294.208505642 | -7.02454813997 | 1.20092598715 |         55135.7381384 |             476.437107301 | 9.59585801536 | 0.00937566592697 | 42.5080715388 |
| 299.48758471 | -15.49126255 |  5.01 | I/239/hip_main |  37 |  578.865 |  463.547 |     15701.8 | 299.465990853 | -15.4946606861 | 1.14049818758 |          47780.775752 |              483.03315336 | 9.44040802383 |  0.0109686576483 |  33.588680718 |
| 300.49407171 | -13.63724241 |  5.69 | I/239/hip_main |  46 |  531.871 |  400.858 |     12956.4 | 300.482376394 |  -13.628445016 | 1.17905679494 |         26283.4215103 |             455.443947839 | 8.79147978237 |  0.0188010789696 | 35.2966472532 |
| 304.41190045 | -12.50821403 |  4.30 | I/239/hip_main |  19 |  383.753 |  383.221 |     35446.9 | 304.429685318 | -12.4935611374 | 1.39541790801 |         121687.613078 |             562.902903254 | 10.4553909636 | 0.00501899605542 | 35.7063969071 |
| 304.51341030 | -12.54485877 |  3.58 | I/239/hip_main |   9 |  380.353 |  385.166 |     61792.7 | 304.531198007 | -12.5288948269 | 1.38343738021 |         226158.121676 |             636.882052214 | 11.1283055038 | 0.00305545970019 |  35.650467995 |
| 305.16586145 | -12.75904403 |  4.77 | I/239/hip_main |  29 |  358.282 |  397.301 |     20124.3 | 305.188061885 | -12.7443641034 | 1.33466572649 |         61239.5599944 |             488.610944902 | 9.70985518661 | 0.00865686943647 | 35.2982514204 |
| 305.25269347 | -14.78140119 |  3.05 | I/239/hip_main |   0 |  368.985 |  472.445 |     62744.3 | 305.277634656 | -14.7807670864 | 1.51387789556 |         259666.392377 |             665.393921284 |  11.278314393 | 0.00278030744751 | 33.2941875946 |
| 311.52402547 | -25.27051682 |  4.13 | I/239/hip_main |   2 |  230.932 |   904.96 |     45623.4 | 311.529464672 | -25.2858865658 |  1.3384013321 |         99055.3162491 |             550.972825234 | 10.2319695047 | 0.00603506745539 | 21.6460490128 |
| 311.91888574 |  -9.49568988 |  3.78 | I/239/hip_main |   4 |   88.361 |  324.243 |     39671.8 | 311.920447726 | -9.50187773591 | 1.65016496977 |         155708.188837 |             571.027378579 | 10.7230536653 | 0.00397901170378 | 36.5469358419 |
